"country_of_origin","n"
"Brazil",73
"Burundi",2
"China",16
"Colombia",143
"Costa Rica",47
"Ecuador",3
"El Salvador",17
"Ethiopia",29
"Guatemala",172
"Haiti",6
"Honduras",50
"India",14
"Indonesia",18
"Ivory Coast",1
"Kenya",21
"Laos",3
"Malawi",11
"Mauritius",1
"Mexico",231
"Myanmar",8
"Nicaragua",21
"Panama",4
"Papua New Guinea",1
"Peru",9
"Philippines",5
"Puerto Rico",4
"Rwanda",1
"Taiwan",49
"Thailand",27
"Uganda",36
"United Republic of Tanzania",36
"United States",61
"Vietnam",8
"Zambia",1
